Code;TAS20;F1;F2;F3;Gender;Age;Card;T_Metaphors;T_ToM;T_FP;T_Interpret;T_Desc;T_Confussion;Text;Alex_A;Alex_B;Words;Sentences;Tokens;Tokens_Stop;Tokens_Stem;POS
bc39e22ca5dba59fbd97c27987878f56;40;16;9;15;2;22;1;0;1;0;1;0;0;es un niño pensando en cual es la respuesta de sus deberes porque no la sabe.;0;0;16;2;['es', 'un', 'niño', 'pensando', 'en', 'cual', 'es', 'la', 'respuesta', 'de', 'sus', 'deberes', 'porque', 'no', 'la', 'sabe'];['niño', 'pensando', 'respuesta', 'deberes', 'sabe'];['niño', 'pensando', 'respuesta', 'deber', 'sabe'];[('es', 'AUX'), ('un', 'DET'), ('niño', 'NOUN'), ('pensando', 'VERB'), ('en', 'ADP'), ('cual', 'PRON'), ('es', 'AUX'), ('la', 'DET'), ('respuesta', 'NOUN'), ('de', 'ADP'), ('sus', 'DET'), ('deberes', 'NOUN'), ('porque', 'SCONJ'), ('no', 'ADV'), ('la', 'PRON'), ('sabe.', 'PROPN')]
bc39e22ca5dba59fbd97c27987878f56;40;16;9;15;2;22;13HM;0;1;0;0;0;0;hombre llorando porque su mujer ha muerto.;0;0;7;2;['hombre', 'llorando', 'porque', 'su', 'mujer', 'ha', 'muerto'];['hombre', 'llorando', 'mujer', 'muerto'];['hombr', 'llorando', 'mujer', 'muerto'];[('hombre', 'NOUN'), ('llorando', 'VERB'), ('porque', 'SCONJ'), ('su', 'DET'), ('mujer', 'NOUN'), ('ha', 'AUX'), ('muerto.', 'VERB')]
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;1;0;1;0;0;0;0;un Niño cansado de estudiar y presionado por sus padres. Está triste porque se siente incomprendido. Siente que da lo mejor de él y que nadie se lo valora.;0;0;29;4;['un', 'niño', 'cansado', 'de', 'estudiar', 'y', 'presionado', 'por', 'sus', 'padres', 'está', 'triste', 'porque', 'se', 'siente', 'incomprendido', 'siente', 'que', 'da', 'lo', 'mejor', 'de', 'él', 'y', 'que', 'nadie', 'se', 'lo', 'valora'];['niño', 'cansado', 'estudiar', 'presionado', 'padres', 'triste', 'incomprendido', 'da', 'mejor', 'nadie', 'valora'];['niño', 'cansado', 'estudiar', 'presionado', 'padr', 'trist', 'incomprendido', 'da', 'mejor', 'nadi', 'valora'];[('un', 'DET'), ('niño', 'NOUN'), ('cansado', 'ADJ'), ('de', 'ADP'), ('estudiar', 'VERB'), ('y', 'CCONJ'), ('presionado', 'ADJ'), ('por', 'ADP'), ('sus', 'DET'), ('padres.', 'NOUN'), ('está', 'AUX'), ('triste', 'ADJ'), ('porque', 'SCONJ'), ('se', 'PRON'), ('siente', 'VERB'), ('incomprendido.', 'PROPN'), ('siente', 'VERB'), ('que', 'SCONJ'), ('da', 'VERB'), ('lo', 'DET'), ('mejor', 'ADJ'), ('de', 'ADP'), ('él', 'PRON'), ('y', 'CCONJ'), ('que', 'SCONJ'), ('nadie', 'PRON'), ('se', 'PRON'), ('lo', 'PRON'), ('valora.', 'VERB')]
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;9VH;0;1;0;1;0;0;Grupo de amigos después de una noche de diversión. Están cansados y uno de ellos está triste porque lo ha dejado con su pareja.;0;0;24;3;['grupo', 'de', 'amigos', 'después', 'de', 'una', 'noche', 'de', 'diversión', 'están', 'cansados', 'y', 'uno', 'de', 'ellos', 'está', 'triste', 'porque', 'lo', 'ha', 'dejado', 'con', 'su', 'pareja'];['grupo', 'amigos', 'después', 'noche', 'diversión', 'cansados', 'triste', 'dejado', 'pareja'];['grupo', 'amigo', 'despué', 'noch', 'diversión', 'cansado', 'trist', 'dejado', 'pareja'];[('grupo', 'NOUN'), ('de', 'ADP'), ('amigos', 'NOUN'), ('después', 'ADV'), ('de', 'ADP'), ('una', 'DET'), ('noche', 'NOUN'), ('de', 'ADP'), ('diversión.', 'PROPN'), ('están', 'AUX'), ('cansados', 'ADJ'), ('y', 'CCONJ'), ('uno', 'PRON'), ('de', 'ADP'), ('ellos', 'PRON'), ('está', 'AUX'), ('triste', 'ADJ'), ('porque', 'SCONJ'), ('lo', 'PRON'), ('ha', 'AUX'), ('dejado', 'VERB'), ('con', 'ADP'), ('su', 'DET'), ('pareja.', 'NOUN')]
20cd825cadb95a71763bad06e142c148;40;12;10;18;2;22;13HM;0;1;0;1;0;0;Hombre desolado porque se ha encontrado a su mujer fallecida.;0;0;10;2;['hombre', 'desolado', 'porque', 'se', 'ha', 'encontrado', 'a', 'su', 'mujer', 'fallecida'];['hombre', 'desolado', 'encontrado', 'mujer', 'fallecida'];['hombr', 'desolado', 'encontrado', 'mujer', 'fallecida'];[('hombre', 'NOUN'), ('desolado', 'ADJ'), ('porque', 'SCONJ'), ('se', 'PRON'), ('ha', 'AUX'), ('encontrado', 'VERB'), ('a', 'ADP'), ('su', 'DET'), ('mujer', 'NOUN'), ('fallecida.', 'ADJ')]
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;1;0;1;0;1;0;0;Es un niño que está aburrido, está cansado de tocar el violín.;0;0;12;2;['es', 'un', 'niño', 'que', 'está', 'aburrido', 'está', 'cansado', 'de', 'tocar', 'el', 'violín'];['niño', 'aburrido', 'cansado', 'tocar', 'violín'];['niño', 'aburrido', 'cansado', 'tocar', 'violín'];[('es', 'AUX'), ('un', 'DET'), ('niño', 'NOUN'), ('que', 'PRON'), ('está', 'AUX'), ('aburrido,', 'ADJ'), ('está', 'AUX'), ('cansado', 'ADJ'), ('de', 'ADP'), ('tocar', 'VERB'), ('el', 'DET'), ('violín.', 'NOUN')]
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;9VH;0;0;0;1;1;0;Esta imagen refleja a varios hombres en el descanso de su trabajo, echándose la siesta en el campo, tapándose de los rayos del sol.;0;0;24;2;['esta', 'imagen', 'refleja', 'a', 'varios', 'hombres', 'en', 'el', 'descanso', 'de', 'su', 'trabajo', 'echándose', 'la', 'siesta', 'en', 'el', 'campo', 'tapándose', 'de', 'los', 'rayos', 'del', 'sol'];['imagen', 'refleja', 'varios', 'hombres', 'descanso', 'trabajo', 'echándose', 'siesta', 'campo', 'tapándose', 'rayos', 'sol'];['imagen', 'refleja', 'vario', 'hombr', 'descanso', 'trabajo', 'echándos', 'siesta', 'campo', 'tapándos', 'rayo', 'sol'];[('esta', 'DET'), ('imagen', 'NOUN'), ('refleja', 'VERB'), ('a', 'ADP'), ('varios', 'DET'), ('hombres', 'NOUN'), ('en', 'ADP'), ('el', 'DET'), ('descanso', 'NOUN'), ('de', 'ADP'), ('su', 'DET'), ('trabajo,', 'NOUN'), ('echándose', 'VERB'), ('la', 'DET'), ('siesta', 'NOUN'), ('en', 'ADP'), ('el', 'DET'), ('campo,', 'PROPN'), ('tapándose', 'PROPN'), ('de', 'ADP'), ('los', 'DET'), ('rayos', 'NOUN'), ('del', 'ADP'), ('sol.', 'NOUN')]
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;11;0;0;0;0;1;0;en esta imagen veo una cascada con rocas alrededor.;0;0;9;2;['en', 'esta', 'imagen', 'veo', 'una', 'cascada', 'con', 'rocas', 'alrededor'];['imagen', 'veo', 'cascada', 'rocas', 'alrededor'];['imagen', 'veo', 'cascada', 'roca', 'alrededor'];[('en', 'ADP'), ('esta', 'DET'), ('imagen', 'NOUN'), ('veo', 'VERB'), ('una', 'DET'), ('cascada', 'NOUN'), ('con', 'ADP'), ('rocas', 'NOUN'), ('alrededor.', 'ADJ')]
107b920c3318629af25cd9fe09c2bd25;37;14;10;13;2;23;13HM;0;1;0;1;0;0;La imagen representa a una mujer enferma, y su marido cansado por estar día y noche cuidando de ella.;0;0;19;2;['la', 'imagen', 'representa', 'a', 'una', 'mujer', 'enferma', 'y', 'su', 'marido', 'cansado', 'por', 'estar', 'día', 'y', 'noche', 'cuidando', 'de', 'ella'];['imagen', 'representa', 'mujer', 'enferma', 'marido', 'cansado', 'día', 'noche', 'cuidando'];['imagen', 'representa', 'mujer', 'enferma', 'marido', 'cansado', 'día', 'noch', 'cuidando'];[('la', 'DET'), ('imagen', 'NOUN'), ('representa', 'VERB'), ('a', 'ADP'), ('una', 'DET'), ('mujer', 'NOUN'), ('enferma,', 'PROPN'), ('y', 'CCONJ'), ('su', 'DET'), ('marido', 'NOUN'), ('cansado', 'ADJ'), ('por', 'ADP'), ('estar', 'AUX'), ('día', 'NOUN'), ('y', 'CCONJ'), ('noche', 'NOUN'), ('cuidando', 'VERB'), ('de', 'ADP'), ('ella.', 'PROPN')]
58ab3fab379ca311cb882e396d7406d9;45;18;9;18;2;22;1;0;1;0;1;0;0;Carlito tiene 10 años, y toca el violín muy a menudo. Resulta que su profesor de siempre ha tenido que irse fuera del país porque le ha surgido una muy buena oportunidad. El profesor que ahora le da las clases es muy borde y no le gusta para nada. No sabe qué hacer, si dejar de tocar el violín, o aguantarle.;0;0;61;5;['carlito', 'tiene', '10', 'años', 'y', 'toca', 'el', 'violín', 'muy', 'a', 'menudo', 'resulta', 'que', 'su', 'profesor', 'de', 'siempre', 'ha', 'tenido', 'que', 'irse', 'fuera', 'del', 'país', 'porque', 'le', 'ha', 'surgido', 'una', 'muy', 'buena', 'oportunidad', 'el', 'profesor', 'que', 'ahora', 'le', 'da', 'las', 'clases', 'es', 'muy', 'borde', 'y', 'no', 'le', 'gusta', 'para', 'nada', 'no', 'sabe', 'qué', 'hacer', 'si', 'dejar', 'de', 'tocar', 'el', 'violín', 'o', 'aguantarle'];['carlito', '10', 'años', 'toca', 'violín', 'menudo', 'resulta', 'profesor', 'siempre', 'irse', 'país', 'surgido', 'buena', 'oportunidad', 'profesor', 'ahora', 'da', 'clases', 'borde', 'gusta', 'sabe', 'hacer', 'si', 'dejar', 'tocar', 'violín', 'aguantarle'];['carlito', '10', 'año', 'toca', 'violín', 'menudo', 'resulta', 'profesor', 'siempr', 'irs', 'paí', 'surgido', 'buena', 'oportunidad', 'profesor', 'ahora', 'da', 'clase', 'bord', 'gusta', 'sabe', 'hacer', 'si', 'dejar', 'tocar', 'violín', 'aguantarl'];[('carlito', 'NOUN'), ('tiene', 'VERB'), ('10', 'NUM'), ('años,', 'NOUN'), ('y', 'CCONJ'), ('toca', 'VERB'), ('el', 'DET'), ('violín', 'NOUN'), ('muy', 'ADV'), ('a', 'ADP'), ('menudo.', 'PROPN'), ('resulta', 'VERB'), ('que', 'SCONJ'), ('su', 'DET'), ('profesor', 'NOUN'), ('de', 'ADP'), ('siempre', 'ADV'), ('ha', 'AUX'), ('tenido', 'VERB'), ('que', 'SCONJ'), ('irse', 'VERB'), ('fuera', 'ADV'), ('del', 'ADP'), ('país', 'NOUN'), ('porque', 'SCONJ'), ('le', 'PRON'), ('ha', 'AUX'), ('surgido', 'VERB'), ('una', 'DET'), ('muy', 'ADV'), ('buena', 'ADJ'), ('oportunidad.', 'NOUN'), ('el', 'DET'), ('profesor', 'NOUN'), ('que', 'PRON'), ('ahora', 'ADV'), ('le', 'PRON'), ('da', 'VERB'), ('las', 'DET'), ('clases', 'NOUN'), ('es', 'AUX'), ('muy', 'ADV'), ('borde', 'NOUN'), ('y', 'CCONJ'), ('no', 'ADV'), ('le', 'PRON'), ('gusta', 'VERB'), ('para', 'ADP'), ('nada.', 'SCONJ'), ('no', 'ADV'), ('sabe', 'VERB'), ('qué', 'PRON'), ('hacer,', 'PROPN'), ('si', 'SCONJ'), ('dejar', 'AUX'), ('de', 'ADP'), ('tocar', 'VERB'), ('el', 'DET'), ('violín,', 'PROPN'), ('o', 'CCONJ'), ('aguantarle.', 'PROPN')]
